raum_id,kurs_hash_id,veranstaltung_hash_id,datum_von,datum_bis
6,07bece75facc7c388b34a2d393cbec8ff453eb4f90446e7d132c6d3979a8ccbb,0096055fb3a62972cce6cbdf650358ab14b0a6c38e56675c70cb5ae313845547,2025-05-23 12:30:00,2025-05-23 15:45:00
1,e2ab5a7db0069b43b968f164bf16c86394ca616590676c74cf8db3869874d238,03d66985fadc20d6a89f13652a8377064179c98a69b7f5132bad8bc0daab87df,2025-05-23 18:00:00,2025-05-23 21:15:00
2,432c8dfafa45b1a53d619ceaf2ab9e54a9f995144f27d614121cd6b8b11c83e2,104140207126fb550cb8cdc5d7cefe479994328987685aacb62f9bf6d4b017bb,2025-05-23 12:30:00,2025-05-23 15:45:00
6,2e1998695400f87da5d403b1697a0743721668e1a94835d20011f36075053b96,1197c5a516511c88be13366e427263f5a0efe6aa235762757af25d7347603961,2025-05-23 18:00:00,2025-05-23 21:15:00
24,955dfcdd7f31c8a3317d809cee198fa8d9920fdea1b365ddfc3f7cd658db9f01,1f8c163b162c8a48b6f0e49be00a07438b04b37f6eaa77932486a41ad8e4e868,2025-05-23 08:30:00,2025-05-23 11:45:00
18,91d5e3fd5a0999d50668d33a7ca10e919a6c7d5fc7f44848dd5c312c17bd3727,25a381cb9b5a87f667c211e2eb821a451abb8262ccf192ac9331e908fde86b54,2025-05-23 12:30:00,2025-05-23 15:45:00
19,c9e35c2ab78a2d1624dbb4ddc1b373f752865c91e8f0cc048651b00a5b3f1491,3b3b0c621cfd83e5709c8ae573a552d02af0de4de41b6b1f2196eae64c74c229,2025-05-23 08:30:00,2025-05-23 11:45:00
24,2fd57c837f8887413cf4e03cca4201bb3287bbf57c66580c38b959b4291a97c6,59a802dfbcda23618d2e7a27e44110a693631e7a9702c0800ae79db6b620a346,2025-05-23 18:00:00,2025-05-23 19:30:00
23,b29e87c7b35a300252200f8eee4c7c1342015f42001e67ebfd8a536288d22844,be5aff40117b7d004aaaa4925c8a1cd5c2f3bd922dd3aff4e692a6d23f5f5074,2025-05-23 18:00:00,2025-05-23 19:30:00
28,f2c87b644bb0448cd107fb0040be1c55d8fcf96915e8a9b32dce1875be5f6dca,f649b58cb11d7605165fae64fb402a7002f02be2206e66eb7ab40786e5188da5,2025-05-23 08:30:00,2025-05-23 11:45:00
28,f2c87b644bb0448cd107fb0040be1c55d8fcf96915e8a9b32dce1875be5f6dca,f679f5880d4f85d9853e286d66d2ba5956a5b2700eeb2ee37edb6b161afa5442,2025-05-23 12:30:00,2025-05-23 15:45:00
24,8bee8f5d5c67f0080993490c6dce9a2734dd3e710dc121718c04dd874599182d,f96d764b8dab635c5431e94559dc4ac381f7c6b5ca864eddafb7476835b99ce7,2025-05-23 12:30:00,2025-05-23 15:45:00
18,e5a0d08839066813d987c727ca09aa196af70ddc78f67f50afc8bd16e61185c3,0d8e3d38c4fc6f6050d4cedbbf8e4f678740fd3de585ab1e9458eae05429c56f,2025-05-23 18:00:00,2025-05-23 19:30:00
18,28a1896bbf3f5762db137f77aecb279b9f8bf60997029d200b16d01f99b91f11,5d102938d32e94279baa03fd7e093e5a1df305f316e9bb08de291c2705ac365c,2025-05-23 18:00:00,2025-05-23 19:30:00
